index,title,combine,overview,cast
0,Avatar,Action Adventure Fantasy Science Fictionculture clash future space war space colony societyEnter the World of Pandora.Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle RodriguezJames Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez
1,Pirates of the Caribbean: At World's End,"Adventure Fantasy Actionocean drug abuse exotic island east india trading company love of one's lifeAt the end of the world, the adventure begins.Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fatGore Verbinski","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat
2,Spectre,Action Adventure Crimespy based on novel secret agent sequel mi6A Plan No One EscapesDaniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica BellucciSam Mendes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci
3,The Dark Knight Rises,Action Crime Drama Thrillerdc comics crime fighter terrorist secret identity burglarThe Legend EndsChristian Bale Michael Caine Gary Oldman Anne Hathaway Tom HardyChristopher Nolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy
4,John Carter,"Action Adventure Science Fictionbased on novel mars medallion space travel princessLost in our world, found in another.Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden ChurchAndrew Stanton","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church
5,Spider-Man 3,Fantasy Action Adventuredual identity amnesia sandstorm love of one's life forgivenessThe battle within.Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher GraceSam Raimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace
6,Tangled,Animation Familyhostage magic horse fairy tale musicalThey're taking adventure to new lengths.Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. GaineyByron Howard,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey
7,Avengers: Age of Ultron,Action Adventure Science Fictionmarvel comic sequel superhero based on comic book visionA New Age Has Come.Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett JohanssonJoss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson
8,Harry Potter and the Half-Blood Prince,Adventure Fantasy Familywitch magic broom school of witchcraft wizardryDark Secrets RevealedDaniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael GambonDavid Yates,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon
9,Batman v Superman: Dawn of Justice,Action Adventure Fantasydc comics vigilante superhero based on comic book revengeJustice or revengeBen Affleck Henry Cavill Gal Gadot Amy Adams Jesse EisenbergZack Snyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg
